Raw_Channel_ID,Platform_ID,obs_std,obs_mean
1,-1,43.14827526898869,208.81245889545207
1,14,43.245863004474046,208.5147247714152
1,15,42.644794686368726,207.84771330773998
1,16,43.32608185643857,208.88801777990457
1,20,42.862800259005354,209.69306267322926
1,21,41.00672569472209,206.3581961906114
1,23,43.10684451429107,208.63778656625053
1,24,43.477805956939,208.56640086972172
2,-1,44.96814209305951,200.67487673075226
2,14,45.0688240991038,200.64044574997308
2,15,44.65034395075911,199.57948659408837
2,16,45.10653156173914,200.78904240241823
2,20,44.54634966722693,200.9030014910355
2,21,42.16959824168713,197.74683727240892
2,23,44.961453342136245,200.72370211205973
2,24,45.38303896246749,200.65617535973996
3,-1,20.60997229307027,241.33242782399282
3,14,20.638403211245485,240.9346938961322
3,15,20.56083967162193,241.01957817359767
3,16,20.756384664385838,241.36646570607004
3,20,20.40978773273391,242.06647213486357
3,21,18.549164473665893,239.64565679658295
3,23,20.594839602248793,241.05065270256063
3,24,20.776392520670253,241.31193090983035
4,-1,12.391091090191496,255.40195807265977
4,14,12.39558220414599,255.2485698626346
4,15,12.441051959212107,255.61576880929422
4,16,12.39107026991132,255.39039410065763
4,20,12.457001058263584,255.74958936586165
4,21,11.702991216116937,254.80897097129633
4,23,12.367115477186875,255.28127542166982
4,24,12.324249047160235,255.26146633367378
5,-1,9.72289107163208,248.30325035989532
5,14,9.712855426440534,248.12249857181723
5,15,9.782916048429138,248.4087687449923
5,16,9.773101672516752,248.26028480979204
5,20,9.71372617268573,248.84428383985446
5,21,9.270351647297238,248.21563820415776
5,23,9.699518172278252,248.0950168016271
5,24,9.705036110488924,247.99733787940366
6,-1,6.591734627516939,233.2546738888034
6,14,6.626838235834015,233.21555828000677
6,15,6.715863262633315,233.8078009560835
6,16,6.751256745920496,233.18885362349366
6,20,6.2770916623924276,233.12018885091325
6,21,6.055423123419333,233.83423502032096
6,23,6.615882647299575,233.14683849524496
6,24,6.603232459352038,233.36377680690163
7,-1,5.200585036541759,223.37161080931776
7,14,5.328507768691345,222.63488189090833
7,15,5.290039398907846,223.40604859527315
7,16,5.286683193657975,222.87131600917934
7,20,5.065071419902494,224.32254865454104
7,21,4.660127715690419,223.87643319144212
7,23,5.171385847225267,222.70343722755194
7,24,5.07430384498421,223.1480783475126
8,-1,6.0071988697567456,216.48895482206066
8,14,5.993478811669694,216.18038748856023
8,15,5.992285017757789,216.32746437053305
8,16,5.9158778196382995,216.28546186411424
8,20,6.002563219758394,217.0717997186405
8,21,6.320274200173209,217.0598985070878
8,23,6.017509215427473,215.95926857080985
8,24,5.297709489024461,215.76674689563418
9,-1,8.509114940634637,211.2537007874646
9,14,8.546910890556669,211.04022344033265
9,15,8.485593502788452,211.30400409997011
9,16,8.31323746741205,210.86774331842972
9,20,8.532774635936512,211.7353577068666
9,23,8.602809925010613,210.69029206493593
9,24,8.490408071518324,211.0450224915925
10,-1,8.008770826557447,214.5290848362116
10,14,8.031084627218561,214.49865927153715
10,15,7.98725303457022,214.67147267452094
10,16,7.901115635400929,214.31155514650166
10,20,8.053008659834964,215.03146673742023
10,23,8.016193430235884,214.09543446059095
10,24,7.944071272830509,214.45702080831023
11,-1,8.572729274070603,220.667324154054
11,14,8.612188988458303,220.78406698291334
11,15,8.578335740928825,220.91224176979185
11,16,8.606801252318974,220.51350307302872
11,23,8.590054337884801,220.36146839247078
11,24,8.489296811083372,220.762503852709
12,-1,9.827017164339123,229.2238827001046
12,14,9.848325150318507,229.15015194738777
12,15,9.787099403535226,229.28036940555563
12,16,9.802699078194221,228.54596812574724
12,20,9.876530004901452,229.60541801900766
12,23,9.857903078183186,228.98018510273
12,24,9.733668818886466,229.31037852193862
13,-1,10.657981916161267,239.62808380868842
13,14,10.676786662443906,239.41935483813367
13,15,10.57700750393631,239.59523381548578
13,16,10.591162650433894,239.05696101001703
13,20,10.702002553441044,240.14076712717042
13,23,10.708136300859543,239.4459129578857
13,24,10.59151936202361,239.66792244377427
14,-1,10.460706383630459,249.80052228607403
14,14,10.518120440742436,249.5965305240693
14,15,10.355629661230186,249.94929470130802
14,16,10.340302426577065,249.42994207978592
14,23,10.525085837365992,249.78271346792957
14,24,10.436851910807803,250.01848408363801
15,-1,27.206282747597683,241.08475017755075
15,14,27.38726738210949,241.0812384969291
15,15,27.297859237142635,241.426373404627
15,16,27.312180489599005,241.39647412995765
15,20,26.740265157879765,240.9054814678835
15,21,26.25128791327429,237.4066499607801
15,23,27.290915782286874,240.861508938203
15,24,27.384349423192475,241.38266784296735
